church_id,name_of_church,denomination,date_organized,city_name,street_address,county,state,sourceid,worker.name,wpa.number,mill_relation,church_origin,mill_id,property_value,present_membership,charter_members,"African,American",budget,outcome_id,avg.current.attendance,latitude,longitude,outcome.source,outcome_notes,notes
,Orrville Baptist,Southern Baptist Convention,1900,Anderson,42 Hammett St,Anderson,SC,,Fred A. Wood,38,"1, 6, 5",2,,23500,430,NA,,,3,,34.48111,82.64844,,concluded 8/13/23 - merged w/ FB Simpsonville to create Upstate Church Anderson Campus. Maintains legacy fb page at: https://www.facebook.com/media/set/?set=a.682741037225621&type=3,Orrville
,Gluck Mill Methodist,Methodist Episcopal South,1904,Anderson,132 Riley St,Anderson,SC,,Fred A. Wood,14,"1, 6",,,4500,115,17,,975,3,,34.45543,82.6614,,appears to actually be Marshall Memorial UMC (131/135 Riley St),"On a charge, worship with Baptist congregation when pastor is away; mill furnished electricity and building"
,Gluck Mill Baptist,Southern Baptist Convention,1904,Anderson,132 Riley St,Anderson,SC,,Fred A. Wood,15,"1, 6",,,4500,270,23,,,3,,34.45543,82.6614,,May actually be Southside Baptist,
,Toxaway,Methodist Episcopal South,1900,Anderson,1308 E. Whitner St,Anderson,SC,,Fred A. Wood,29,"1, 3",2,,10000,175,NA,,,1,10,34.50209,82.63077,,,Toxaway Mill
,Belton Pres,Presbyterian U.S.,1788,Belton,300 Riner St,Anderson,SC,,Fred A. Wood,64,"6, 2",,,17500,NA,NA,,NA,,,,,,,
,Church of God,"Church of God (Headquarters Cleveland, Tenn.)",1921,Honea Path,Georgia Street (no number),Anderson,SC,,Fred A. Wood,74,"3, 6",2,,7675,,,,,5,,34.4514,82.38822,,Has moved,Chiquola Mill
,Chiquola Baptist,Southern Baptist Convention,1905,Honea Path,Maryland St (no number),Anderson,SC,,Fred A. Wood,75,"6, 1, 3",2,,18200,341,12,,1928,5,,34.45171,82.3897,https://www.cbchoneapath.com/history,"Moved to another parcel, then moved again",Chiquola Mill
,Honea Path Baptist,Southern Baptist Convention,1869,Honea Path,South Main (no number),Anderson,SC,,Fred A. Wood,76,,,,,,,,,1,,,,,still present,
,Trinity Methodist,Methodist Episcopal South,NA,Honea Path,South Main (no number),Anderson,SC,,Fred A. Wood,77,,,,,,,,,1,53,,,,,
,Chiquola Methodist,Methodist Episcopal South,1907,Honea Path,Chiquola Ave.,Anderson,SC,,Fred A. Wood,78,"6, 1, 3",2,,10000,126,9,,650,1,,34.4451,82.39233,https://www.umdata.org/church?church=270598; https://www.facebook.com/groups/211087205725849/,Split to GMCin 2023 during UMC/GMC split,Chiquola Mill - church inherited the union building that was built by the mill as other churches built their own buildings
,Bethel,Methodist Episcopal South,1892,Anderson,Corner Bleckley + Piedmont,Anderson,SC,,Fred A. Wood,12,6,,,35000,,,,,2,,34.51152,82.66215,https://www.facebook.com/groups/scpictureproject/posts/1664122080559591/; https://www.umdata.org/church?church=270202,closed 6/30/2017,R.L. Ligon heavily present
,Riverside Baptist Church,Southern Baptist Convention,1901,Anderson,504 S Gossett St (Google Maps),Anderson,SC,,Fred A. Wood,13,3,,,15000,652,NA,,,1,,34.4974,82.62981,,,
,Holy Trinity Kreps Memorial,Lutheran,1936,Anderson,215 Broad St,Anderson,SC,,Fred A. Wood,16,10,,,20000,55,30,,2219,1,,,,,,Hipp family is in a memorial window
,Second Baptist,Southern Baptist Convention,1892,Anderson,Glenn St. At D Street,Anderson,SC,,Fred A. Wood,17,6,,,15750,820,22,,800,3,,34.50967,82.66115,https://www.facebook.com/groups/517701174973537/posts/751750278235291/; deed book,"Becomes Garner Memorial, then Crossover Community Church of the Upstate, then closes. Now Living Hope Church PCA",
